reviews,sentiments,predictions,correctness
I love this bag!  The quality of the canvas and stitching is wonderful.  I would have expected to pay a lot more for this bag. The orange is a great color,1,1,1
Great product at a great price!!  Fast shipping too!,1,1,1
I've had two of these and they are great. Truly no headache! I'm here to buy a third,1,1,1
My son loved these shoes. Even though he is two all he could say was CARS,1,1,1
"The 3 T-Shirts we ordered were not as pictured and were smaller than the size guide.  We did, however, receive a refund less shipping costs after many phone calls to the seller and amazon.  The seller does not promtly return phone calls",0,0,1
"After years of wanting some overalls my wife got me a pair for my 35th birthday. She says I now look like the 5-yr inside of them.

But what are the two extra buttonholes in the bib pockets for? I figure one of them is for a pen or pencil, but I can't figure out what the other is for.

They are comfy, spacious, and have plenty of pocket room for tools and nails, nut and bolts. A must have for any man, though they are much sexier on women",1,1,1
"This is my second Rider sandal.  They have a confortable feel, padded sole for cushion and are reasonably durable.  My last pair made it for about 6 years of pretty active use.  With my bad heels, the cushioned stride is great.  And I've never found a more comfortable and customizeable fit in a sandal",1,1,1
Both chargers and the A/V cable work well and are great to have on hand for charging my video ipod because watching video on it drains the power quicker than just audio,1,1,1
"These shorts are awesome.  They fit perfectly, they keep me totally covered, but they're short enough that I stay cool.  They're rad.  I will be ordering more pairs soon",1,1,1
"Holds up well in rain, very roomy.  Padded straps keep shoulders comfortable when bag is heavy.  Very happy with product",1,1,1
"I found the band underneath the cups rolled under and wasn't very elastic...very uncomfortable.  It fit great when I tried it in the store
(even had it fit to me by a Medela rep) but after a few wearings, the band
issue just soured the deal.  Also, I had a hard time getting the cup fasteners hooked with just one hand.  The fasteners are pretty fiddly.  My favorite bras are, by far, the Bravado line!",0,1,0
I simply loved this wallet. And it came in a cool package. beautiful butter soft leather. supple and smellin' great,1,1,1
"Slippers are nice and comfortable, but I should caution that they run slightly small. I'm a 9.5 and the large size is snug for me",1,1,1
"Comfortable, stylish, elegant and very sexy.  Also washes well and keeps its good looks.  The fabric feels wonderful against the skin",1,1,1
These are the best thing to happen to laces. They actually hold a knot without making a double knot. Now if only they came in more colors..,1,1,1
These were great - arrived in a timely fashion and were just like they were shown to be on the site,1,1,1
I like the design simplicity of this shoe but don't use it for jogging or running as you will feel uncomfortable. I guess it is made for walking,1,0,0
"I purchased these crew neck tops after being unhappy with various brands of ""waffle"" thermal shirts.  I was pleasantly surprised to find the Duofold Insulayer tops to be almost silky smooth, lightweight, and very warm.  I wore them recently under by suit while back in New York and Chicago during their ""NorEaster of 2007"" and found them to be the perfect undergarment for business wear in harsh cold.  I give them a big ""Thumbs Up""",1,1,1
"IT IS MY MAIN BAG NOW, EVERYTHING FITS INTO THAT I NEED TO TAKE ON TRIPS TO THE BEACH. THE STRAPS ARE STRONG, AND EASY TO CARRY",1,1,1
"Of the Love Fifi items my husband recently bestowed upon me, this was the third item I had tried on.

My other-half had selected the Black & Red version for me (the one pictured) -- which made it easily one of the most romantic of the bunch!

After a nice dinner out and once we got home -- I told my husband that I wanted to change into something more ""comfortable.""

When he came into the bedroom, I had slipped on these Jezebel crotchless panties along with my sexiest black negligee.  I was also sprawled across the bed - with the most alluring come-hither look I could muster.  (Hey, don't laugh!  It still works!)

I wasn't sure if lightning would strike again.  Buy hey!  With these Love Fifi's centerless panties -- I'm definitely three-for-three!


For some reason, I had assumed that these (and other) crotchless knickers would have little appeal between women.  

But when a close girlfriend came to visit one weekend - I soon learned otherwise!

I hopped under the sheets - with these Jezebels on, unbeknownst to her - to help warm her bed.

After getting reacquainted -- she playfully tried to slip her hand underneath - but I kept shooing it away!  

This went on for about ten minutes, until it finally dawned on her - that there was another way in!  

This was, incidentally, about ten minutes LONGER than my husband - or any guy, for that matter - would've taken to figure it out!

Surprisingly, I never would've guessed - that these Love Fifi crotchless undies would be so versatile!  Everyone loves `em!",1,1,1
"I'm a nurse.  I wear one of these everyday at the hospital.  If you're looking for comfort, this bra is it",1,1,1
"The most comfortable slippers I've ever worn.  I'm not kidding, Perfect for staying at home or wearing at school.  Get them",1,1,1
"hello'
this item it's on of the best watch from guess it's nice and i advice you to buy i",1,1,1
"the shop did a wonderful job shipping my items right away - i had no problems, both items fit great, and the scarf i ordered is so versatile!
also, the prices were amazing.
thanks",1,1,1
Received these shoes extremely fast.  The shoes fit perfectly and were in excellent condition.  I have four pair of these shoes in different colors because of their comfort and price.  I have had excellent service from Bealls,1,1,1
"This is a nice shirt, not as warm as we had hoped though. The lining is quite thin. It washes fairly well, loses a bit of its shape but not a lot. A great shirt for the fall. Its roomy & comfortable",1,1,1
"I love these Crocs!  They are much more comfortable than the original style, and I like the two tone color combo.  I wear them even in the winter",1,1,1
"I was able to get a great pair of pants for really cheap, enough said",1,1,1
The leather is super soft. There is more than enough room yet it's not bulky. Top quality for less than a couple trips to that fast food place. I've had more wallets than I can count and this one tops everything. You'll also get some free stuff in the box that makes it all the more cool. Thanks Fossil,1,1,1
"I've had this briefcase for about a month now. It's held up perfectly so far. The closure mechanisms are not buckles, but clips behind the buckles. It's been roomy enough to put a palm pilot, pens, and multiple files with papers. The leather looks great and it's very light. The shoulder strap is also comfortable. Assuming it contiues to hold up for a reasonable length of time, I'd buy this product again. One note: If you are looking to store a laptop in this briefcase, I'd think twice. It's not as large as most laptop briefcases and definately does not have adequate padding in my opinion. But for carrying documents, books and other items, it has met all my expectations",1,1,1
I bought these pants recently and I notice that I do more laundry so that I'll be able to wear THESE pants to as many yoga classes as possible. They are awesome,1,1,1
"I was so impressed with this shirt that I had to buy another for my best friend!  It is for her birthday, so I have yet to see her expression!  But since I thought it was awesome, I knew she would love it too.  We are both on different bowling leagues and so far, everyone else got a kick out of it.  My opinion, this is where we should get a good team together and order from CruisinUSA.  I wouldn't mind being a Gutter Gal, so to speak!  These shirts are AWESOME!  I give BowlingShirts.com 10 stars!!  Bravo!",1,1,1
"What an absolute winner! THIS IS A CLASSIC AND I MEAN CLASSIC! It accentuates all the good and covers all the bad. Very retro styling with leg and bottom coverage that leaves you feeling modestly but elegantly comfortable. Made out of substantial fabric in a updated modern black with gold design. The bodice support is remarkable too, it has stays at the sides to give bra like support. However it's the hip and bottom support that makes this suit unique. It's basically a 40's style suit with a modern twist. The price is awesome too. A swim suit of this quality would usually be around $100.00 or more. I am a happy old lady customer! I swim a lot. I buy a lot of suits and there are only three brands that are any good...Maxine, Lands End, and Carol Wior.",1,1,1
"These shoes look great on, however are extremely uncomfortable.  They run VERY small in size (I went up 1 1/2 sizes from what I normally wear in SM brand).  

I would not recommend them as shoes you would wear for more than an hour at a time because the thong portion cuts into your skin and the arches in the heels are so high that they put alot of pressure on the ball of your foot",0,0,1
"For the money I spent on this bra it should be a better bra all around.  It gives a classic ""torpedo"" shape to the breasts, does not offer any lift, and is pretty much unwearable.",0,0,1
"nice burgandy-ish color, leather is sturdy, yet comfortable.
Cute style, slightly larger heel than Clarks usually has. Also, gives a bit of o squeak the first few times u wear them
Overall nice shoe, should be durable too",1,1,1
The first pair that I got didn't fit and they were the wrong color.  I sent them back and had the correct one within days.  Perfect service and great product.  Thank you!  They made my 5 year old's day,1,1,1
I bought this thinking for the price and name of item(Hardside)that I would receive something solid. What arrived was a disappointment. The outside is anything but solid. Made out of something a little harder than common plastics. Sent back item and looked for something truly worthwhile from Samsonite,0,0,1
"I was hesistant as a first time buyer of a product like this, but I was very pleased with the ease of the transaction, the prompt arrival of the correct product and the quality of the product.  It was exactly what I had wanted and my son was thrilled",1,1,1
"This is my favorite bra!! I bought one and I loved it so much I got another one.  It is very supportive, yet comfortable and looks great even under fitted sweaters.",1,1,1
"Very well made(USA). These socks are heavyweight,good for winter.Very generous sizing.Good fit. I like them",1,1,1
Even for $13 I expected some quality and got very little. The dye from the leather dyed my feet during a rain storm. The footpad was so rough it irritated the botton of my foot. The leather over the toe was so rough it irritated my toe. These were REALLY poor,0,1,0
The jersey arrived very quickly and was perfect. I was very satisfied with Amazon :,1,1,1
I returned this bra to exchange for size the day after I received it in October.  It is now January and I have not yet received the replacement.  I have called several times but to no avail!  I can't give a good review of this product because I haven't actually gotten to wear the bra,0,0,1
This is a perfect bra for a younger average body type.  It gives an uplift and no show through.  I will purchase this product again.  Made much better than other bras as well,1,1,1
"I have a just-turned 12 yr old girl with a rather large foot (size 10 women's) and these look cute and are comfy for her without having the typical heel that I usually can only find in her size.  I bought her the silver ones and they fit comfortably (although they say here they run small, they fit her okay in her regular size)  I cannot attest to the durability of them yet because she just got them, but I think overall because it is the Skechers good reputation and that they were an excellent price, that we made a good deal",1,1,1
"This is the great suitcase.  I have never owned one like it.  And the yellow definiatly stands out at the airport, I can find my luggage fas",1,1,1
They were an excellent price and a great quality. It was everything I wanted in a robe.,1,1,1
"I love my Cayman Crocs. My sister swore by these shoes, but I wasn't convinced because they are a little different looking. I liked the bright colors I saw some people wearing at the beach this summer, but I'm practical and they can only go with so many things. 
I ended up purchasing a navy pair because they go with just about anything. I'm not at all disappointed. They really don't look bad paired with casual outfits. 
I wish they could make the soles of all shoes out of this stuff though because it's amazing. It's not so much that you slip them on and say ""wow this feels great"" ... for me it was more so that after activities (marathon shopping trips for example) my feet weren't sore or tired when my regular shoes would have had them ready to quit. I think they are great ... even with the ""different"" look ... though I do wish they'd come up with a more stylish pair at some point",1,1,1
"This is a very comfortable jockstrap that's perfect for jogging as well as normal everyday wear.  I've worn it as regular underwear and found that the comfort level & support is excellent.  Normally I like to wear the Jockey Next-to-Nothing thongs, but need more ball support when I'm jogging on the treadmill.  The front pouch conforms to your bulge perfectly and has the right amount of fabric to completely cover & cup your balls, unlike other thongs and jocks on the market that leave some uncovered space.

I love the textured look and feel of the ribbed mesh pouch while the support is consistent and comfortable.  The thin colored waistband offers a great look when compared to the excessively wide waistbands of other jocks.  The straps that go around your cheeks give you the same feel as other jocks.  Just keep in mind that the straps of a jock offer a different feel from that of thong-type underwear, so it may take a little getting used to if you're not accustomed to wearing a jockstrap.  All in all, this jockstrap by Bike offers the most when it comes to support, look and feel.",1,1,1
